"公園名","Id","公園番号","公園種別","読み仮名","公園所在地","公園面積_m2","主な施設","主な遊具","閉鎖管理施設","トイレ","その他情報","備考1","備考2","経度","緯度","分類"
"桜山公園","97","100","街区公園","さくらやま","東中野３－２２","2824.16","キャッチボールコーナー","砂場、複合遊具、健康遊具、シーソー","","車いす用○、オストメイト○、男子大１、男子小１、女子×、共用×、ベビーシート○、ベビーチェア○","","","","139.680034010748","35.7074207539344","街区公園"
"かえで公園","69","72","街区公園","かえで","中　央２－３５","510.86","","鉄棒","","なし","","","","139.680306256011","35.7005918351682","街区公園"
"上の原公園","20","21","街区公園","うえのはら","東中野２－６","1002.15","","ブランコ、滑り台、砂場、鉄棒","","車いす用○、オストメイト×、男子大×、男子小１、女子×、共用１、ベビーシート×、ベビーチェア×","","","","139.681004330051","35.7024917166446","街区公園"
"朝日が丘公園","13","14","街区公園","あさひがおか","本　町２－３２","700.03","","ブランコ、砂場、複合遊具","児童館外トイレ（開放9:00、閉鎖17:00　日及び休日は終日開放）","（児童館外）車いす用○、オストメイト×、男子大×、男子小×、女子×、共用×、ベビーシート×、ベビーチェア×","","","","139.681023850922","35.6948473061457","街区公園"
"長者橋公園","164","170","街区公園","ちょうじゃばし","弥生町１－６","340.63","","","","なし","","","","139.68159854822","35.6918514233389","街区公園"
"塔の山公園","18","19","街区公園","とうのやま","中　央２－７","1351.12","","ブランコ、滑り台、砂場","","車いす用○、オストメイト×、男子大×、男子小１、女子×、共用×、ベビーシート×、ベビーチェア×","","","","139.681741460647","35.6989190297487","街区公園"
"みどり公園","80","83","街区公園","みどり","東中野３－１１","798.32","","ブランコ、砂場、鉄棒","","車いす用×、オストメイト×、男子大×、男子小×、女子×、共用１、ベビーシート×、ベビーチェア×","","","","139.682717871545","35.7084390852321","街区公園"
"本一公園","35","36","街区公園","ほんいち","本　町１－２３","996.88","","複合遊具","","車いす用○、オストメイト○、男子大×、男子小×、女子×、共用×、ベビーシート○、ベビーチェア○","","","","139.682749573731","35.6942031521156","街区公園"
"若の芽公園","79","82","街区公園","わかのめ","本　町１－５","289.18","","","","車いす用×、オストメイト×、男子大×、男子小×、女子×、共用１、ベビーシート×、ベビーチェア×","","","","139.683298485414","35.692917448885","街区公園"
"氷川公園","47","48","街区公園","ひかわ","東中野１－１１","849.92","神社の境内","ブランコ、滑り台、砂場、雲梯、ｼﾞｬﾝｸﾞﾙｼﾞﾑ","","車いす用×、オストメイト×、男子大×、男子小×、女子×、共用１、ベビーシート×、ベビーチェア×","","","","139.683097098167","35.7030709116036","街区公園"
"あやめポケットパーク","174","303","その他","あやめぽけっとぱーく","弥生町１－１","62.43","","","","なし","","","","139.683500622727","35.6924180432721","その他"
"神田川はなひろば","149","155","街区公園","かんだがわはなひろば","本　町１－２","391.7","","","","なし","","","","139.683937037567","35.6929022934975","街区公園"
"なかの坂公園","141","147","街区公園","なかのさか","本　町１－１５","175","","スプリング遊具","","なし","","","","139.6846853944","35.695979767052","街区公園"
"あいおいポケットパーク","173","302","その他","あいおいぽけっとぱーく","本　町１－１","63.18","","","","なし","","","","139.684753829061","35.6935394424901","その他"
"川添公園","23","24","街区公園","かわぞえ","東中野１－２２","890.05","","ブランコ、砂場、複合遊具、鉄棒","","車いす用○、オストメイト×、男子大×、男子小１、女子×、共用×、ベビーシート×、ベビーチェア×","","","","139.686177605484","35.7034892175093","街区公園"
